KeyOrValue,Hex,Type,FilePaths
Key,0x138741197f,int,/enemy/common/common.prc
Key,0x192431e46f,float,/enemy/common/common.prc
Key,0x18d492dd45,float,/enemy/common/common.prc
Key,0x18b5bd084c,float,/enemy/common/common.prc
Key,0x18c2ba38da,float,/enemy/common/common.prc
Key,0x17beac1efa,float,/enemy/common/common.prc
Key,0x1727a54f40,float,/enemy/common/common.prc
Key,0x1750a27fd6,float,/enemy/common/common.prc
Key,0x166550d3d4,float,/enemy/common/common.prc
Key,0x1524d45c9c,float,/enemy/common/common.prc
Key,0x1cee89023a,float,/enemy/common/common.prc
Key,0x1e9257bb50,float,/enemy/common/common.prc
Key,0x1513a4a9e2,float,/enemy/common/common.prc
Key,0x141bf2ef53,float,/enemy/common/common.prc
Key,0x19f3c9c91d,float,/enemy/common/common.prc
Key,0x15e5fa30c2,float,/enemy/common/common.prc
Key,0x0c2521ed72,float,/enemy/common/common.prc
Key,0x0ff43e881c,float,/enemy/common/common.prc
Key,0x17d93f9053,int,/param/game/substick_parameter.prc
Key,0x182b60c43d,int,/param/game/substick_parameter.prc
Key,0x1c33939333,int,/param/game/substick_parameter.prc
Key,0x16c40c937b,float,/param/game/substick_parameter.prc
Key,0x19535e4832,float,/param/game/substick_parameter.prc
Key,0x19245978a4,float,/param/game/substick_parameter.prc
Key,0x19ce19702f,float,/param/game/substick_parameter.prc
Key,0x150f5d74a0,int,/param/game/suddendeath_parameter.prc
Key,0x2bbf2e7773,float,/param/game/suddendeath_parameter.prc
Key,0x125918f525,int,/param/game/wiicon_parameter.prc
Key,0x1675cee622,float,/param/game/wiicon_parameter.prc
Key,0x1602c9d6b4,float,/param/game/wiicon_parameter.prc
Key,0x149c307741,float,/param/game/wiicon_parameter.prc
Key,0x14eb3747d7,float,/param/game/wiicon_parameter.prc
Key,0x13338b8cfe,int,/param/game/wiicon_parameter.prc
Key,0x13448cbc68,int,/param/game/wiicon_parameter.prc
Key,0x1459f8dbdb,int,/param/game/wiicon_parameter.prc
Key,0x1d7e563d79,int,/param/game/wiicon_parameter.prc
Key,0x18aaff0636,int,/param/game/wiicon_parameter.prc
Key,0x187e8f90f3,int,/param/game/wiicon_parameter.prc
Key,0x1a9abdc549,int,/param/game/wiicon_parameter.prc
Key,0x1ce137e55e,int,/param/game/wiicon_parameter.prc
Key,0x157f29d18f,ushort,/param/in_game/attract_demo_parameter.prc
Key,0x16badc069d,ushort,/param/in_game/attract_demo_parameter.prc
Key,0x163453017e,ushort,/param/in_game/attract_demo_parameter.prc
Key,0x156e54bbf6,ushort,/param/in_game/attract_demo_parameter.prc
Key,0x18c1315790,list,/param/in_game/attract_demo_parameter.prc
Key,0x211b66569d,float,/param/in_game/camera_boss_parameter.prc
Key,0x2180c31af2,float,/param/in_game/camera_boss_parameter.prc
Key,0x21f75dc802,float,/param/in_game/camera_boss_parameter.prc
Key,0x1e0f7afefc,float,/param/in_game/camera_boss_parameter.prc
Key,0x1e94dfb293,float,/param/in_game/camera_boss_parameter.prc
Key,0x1ee3416063,float,/param/in_game/camera_boss_parameter.prc
Key,0x16f7034d8b,float,/param/in_game/camera_melee_parameter.prc
Key,0x16b614720d,float,/param/in_game/camera_melee_parameter.prc
Key,0x21ce10583e,float,/param/in_game/camera_melee_parameter.prc
Key,0x1f33d17600,float,/param/in_game/camera_melee_parameter.prc
